NA,"YouthBks","CookBks",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ChildBks","YouthBks","CookBks",NA,"RefBks",NA,"GeogBks","ItalCook",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"GeogBks",NA,NA,NA,NA
"ChildBks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CookBks",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CookBks",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ArtBks",NA,NA,NA,NA,"Florence"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florence"
"ChildBks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ChildBks",NA,"CookBks",NA,"RefBks","ArtBks","GeogBks","ItalCook","ItalAtlas","ItalArt",NA
"ChildBks","YouthBks","CookBks",NA,NA,"ArtBks",NA,"ItalCook",NA,NA,NA
NA,NA,"CookBks",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CookBks","DoItYBks","RefBks","ArtBks",NA,NA,NA,NA,NA
"ChildBks",NA,"CookBks",NA,NA,"ArtBks","GeogBks",NA,NA,NA,"Florence"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"YouthBks","CookBks","DoItYBks",NA,"ArtBks",NA,NA,NA,NA,NA
"ChildBks",NA,NA,NA,NA,NA,"GeogBks",NA,NA,NA,NA
NA,NA,NA,NA,NA,"ArtBks",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"RefBks",NA,NA,NA,NA,NA,NA
"ChildBks",NA,"CookBks",NA,NA,NA,NA,"ItalCook",NA,NA,NA
"ChildBks",NA,"CookBks",NA,NA,NA,NA,"ItalCook",NA,NA,NA
NA,NA,NA,NA,NA,"ArtBks",NA,NA,NA,NA,NA
"ChildBks","YouthBks","CookBks","DoItYBks",NA,"ArtBks",NA,"ItalCook",NA,"ItalArt",NA
"ChildBks","YouthBks","CookBks","DoItYBks",NA,NA,"GeogBks",NA,NA,NA,NA
NA,NA,"CookBks",NA,"RefBks","ArtBks",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ChildBks","YouthBks","CookBks","DoItYBks",NA,"ArtBks",NA,"ItalCook",NA,"ItalArt",NA
"ChildBks",NA,"CookBks","DoItYBks",NA,"ArtBks","GeogBks","ItalCook",NA,NA,NA
"ChildBks","YouthBks","CookBks","DoItYBks","RefBks","ArtBks","GeogBks","ItalCook","ItalAtlas","ItalArt",NA
"ChildBks","YouthBks","CookBks",NA,NA,"ArtBks","GeogBks","ItalCook",NA,"ItalArt",NA
NA,"YouthBks","CookBks",NA,NA,NA,NA,"ItalCook",NA,NA,NA
NA,NA,"CookBks",NA,NA,"ArtBks",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ChildBks","YouthBks","CookBks",NA,"RefBks",NA,"GeogBks",NA,NA,NA,NA
NA,NA,NA,NA,NA,"ArtBks","GeogBks",NA,NA,NA,NA
